date,interval,data_type,key
2026-05-04,daily,aggTrades,data/spot/daily/aggTrades/USDTKZT/USDTKZT-aggTrades-2026-05-04.zip
2026-05-05,daily,aggTrades,data/spot/daily/aggTrades/USDTKZT/USDTKZT-aggTrades-2026-05-05.zip
2026-05-06,daily,aggTrades,data/spot/daily/aggTrades/USDTKZT/USDTKZT-aggTrades-2026-05-06.zip
2026-05-07,daily,aggTrades,data/spot/daily/aggTrades/USDTKZT/USDTKZT-aggTrades-2026-05-07.zip
2026-05-08,daily,aggTrades,data/spot/daily/aggTrades/USDTKZT/USDTKZT-aggTrades-2026-05-08.zip
2026-05-09,daily,aggTrades,data/spot/daily/aggTrades/USDTKZT/USDTKZT-aggTrades-2026-05-09.zip
2026-05-10,daily,aggTrades,data/spot/daily/aggTrades/USDTKZT/USDTKZT-aggTrades-2026-05-10.zip
2026-05-11,daily,aggTrades,data/spot/daily/aggTrades/USDTKZT/USDTKZT-aggTrades-2026-05-11.zip
2026-05-12,daily,aggTrades,data/spot/daily/aggTrades/USDTKZT/USDTKZT-aggTrades-2026-05-12.zip
2026-05-13,daily,aggTrades,data/spot/daily/aggTrades/USDTKZT/USDTKZT-aggTrades-2026-05-13.zip
