date,interval,data_type,key
2019-07-01,monthly,aggTrades,data/spot/monthly/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-07.zip
2019-07-01,monthly,trades,data/spot/monthly/trades/ONTPAX/ONTPAX-trades-2019-07.zip
2019-07-27,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-07-27.zip
2019-07-28,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-07-28.zip
2019-07-29,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-07-29.zip
2019-07-30,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-07-30.zip
2019-07-31,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-07-31.zip
2019-08-01,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-01.zip
2019-08-01,monthly,aggTrades,data/spot/monthly/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08.zip
2019-08-01,monthly,trades,data/spot/monthly/trades/ONTPAX/ONTPAX-trades-2019-08.zip
2019-08-02,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-02.zip
2019-08-03,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-03.zip
2019-08-04,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-04.zip
2019-08-05,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-05.zip
2019-08-06,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-06.zip
2019-08-07,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-07.zip
2019-08-08,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-08.zip
2019-08-09,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-09.zip
2019-08-10,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-10.zip
2019-08-11,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-11.zip
2019-08-12,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-12.zip
2019-08-13,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-13.zip
2019-08-14,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-14.zip
2019-08-15,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-15.zip
2019-08-16,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-16.zip
2019-08-17,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-17.zip
2019-08-18,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-18.zip
2019-08-19,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-19.zip
2019-08-20,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-20.zip
2019-08-21,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-21.zip
2019-08-22,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-22.zip
2019-08-23,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-23.zip
2019-08-24,daily,aggTrades,data/spot/daily/aggTrades/ONTPAX/ONTPAX-aggTrades-2019-08-24.zip
