date,interval,data_type,key
2026-08-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08.zip
2026-08-01,monthly,trades,data/futures/um/monthly/trades/MEITUANUSDT/MEITUANUSDT-trades-2026-08.zip
2026-08-11,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-11.zip
2026-08-11,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-11.zip
2026-08-11,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-11.zip
2026-08-12,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-12.zip
2026-08-12,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-12.zip
2026-08-12,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-12.zip
2026-08-13,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-13.zip
2026-08-13,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-13.zip
2026-08-13,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-13.zip
2026-08-14,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-14.zip
2026-08-14,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-14.zip
2026-08-14,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-14.zip
2026-08-15,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-15.zip
2026-08-15,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-15.zip
2026-08-15,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-15.zip
2026-08-16,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-16.zip
2026-08-16,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-16.zip
2026-08-16,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-16.zip
2026-08-17,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-17.zip
2026-08-17,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-17.zip
2026-08-17,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-17.zip
2026-08-18,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-18.zip
2026-08-18,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-18.zip
2026-08-18,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-18.zip
2026-08-19,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-19.zip
2026-08-19,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-19.zip
2026-08-19,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-19.zip
2026-08-20,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-20.zip
2026-08-20,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-20.zip
2026-08-20,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-20.zip
2026-08-21,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-21.zip
2026-08-21,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-21.zip
2026-08-21,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-21.zip
2026-08-22,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-22.zip
2026-08-22,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-22.zip
2026-08-22,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-22.zip
2026-08-23,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-23.zip
2026-08-23,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-23.zip
2026-08-23,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-23.zip
2026-08-24,daily,aggTrades,data/futures/um/daily/aggTrades/MEITUANUSDT/MEITUANUSDT-aggTrades-2026-08-24.zip
2026-08-24,daily,bookDepth,data/futures/um/daily/bookDepth/MEITUANUSDT/MEITUANUSDT-bookDepth-2026-08-24.zip
2026-08-24,daily,metrics,data/futures/um/daily/metrics/MEITUANUSDT/MEITUANUSDT-metrics-2026-08-24.zip
