date,interval,data_type,key
2026-07-16,daily,aggTrades,data/futures/um/daily/aggTrades/TZAUSDT/TZAUSDT-aggTrades-2026-07-16.zip
2026-07-16,daily,bookDepth,data/futures/um/daily/bookDepth/TZAUSDT/TZAUSDT-bookDepth-2026-07-16.zip
2026-07-16,daily,metrics,data/futures/um/daily/metrics/TZAUSDT/TZAUSDT-metrics-2026-07-16.zip
2026-07-17,daily,aggTrades,data/futures/um/daily/aggTrades/TZAUSDT/TZAUSDT-aggTrades-2026-07-17.zip
2026-07-17,daily,bookDepth,data/futures/um/daily/bookDepth/TZAUSDT/TZAUSDT-bookDepth-2026-07-17.zip
2026-07-17,daily,metrics,data/futures/um/daily/metrics/TZAUSDT/TZAUSDT-metrics-2026-07-17.zip
2026-07-18,daily,aggTrades,data/futures/um/daily/aggTrades/TZAUSDT/TZAUSDT-aggTrades-2026-07-18.zip
2026-07-18,daily,bookDepth,data/futures/um/daily/bookDepth/TZAUSDT/TZAUSDT-bookDepth-2026-07-18.zip
2026-07-18,daily,metrics,data/futures/um/daily/metrics/TZAUSDT/TZAUSDT-metrics-2026-07-18.zip
2026-07-19,daily,aggTrades,data/futures/um/daily/aggTrades/TZAUSDT/TZAUSDT-aggTrades-2026-07-19.zip
2026-07-19,daily,bookDepth,data/futures/um/daily/bookDepth/TZAUSDT/TZAUSDT-bookDepth-2026-07-19.zip
2026-07-19,daily,metrics,data/futures/um/daily/metrics/TZAUSDT/TZAUSDT-metrics-2026-07-19.zip
2026-07-20,daily,aggTrades,data/futures/um/daily/aggTrades/TZAUSDT/TZAUSDT-aggTrades-2026-07-20.zip
2026-07-20,daily,bookDepth,data/futures/um/daily/bookDepth/TZAUSDT/TZAUSDT-bookDepth-2026-07-20.zip
2026-07-20,daily,metrics,data/futures/um/daily/metrics/TZAUSDT/TZAUSDT-metrics-2026-07-20.zip
2026-07-21,daily,aggTrades,data/futures/um/daily/aggTrades/TZAUSDT/TZAUSDT-aggTrades-2026-07-21.zip
2026-07-21,daily,bookDepth,data/futures/um/daily/bookDepth/TZAUSDT/TZAUSDT-bookDepth-2026-07-21.zip
2026-07-21,daily,metrics,data/futures/um/daily/metrics/TZAUSDT/TZAUSDT-metrics-2026-07-21.zip
