date,interval,data_type,key
2025-12-01,monthly,aggTrades,data/futures/um/monthly/aggTrades/COLLECTUSDT/COLLECTUSDT-aggTrades-2025-12.zip
2025-12-01,monthly,trades,data/futures/um/monthly/trades/COLLECTUSDT/COLLECTUSDT-trades-2025-12.zip
2025-12-31,daily,aggTrades,data/futures/um/daily/aggTrades/COLLECTUSDT/COLLECTUSDT-aggTrades-2025-12-31.zip
2025-12-31,daily,bookDepth,data/futures/um/daily/bookDepth/COLLECTUSDT/COLLECTUSDT-bookDepth-2025-12-31.zip
2025-12-31,daily,metrics,data/futures/um/daily/metrics/COLLECTUSDT/COLLECTUSDT-metrics-2025-12-31.zip
2026-01-01,daily,aggTrades,data/futures/um/daily/aggTrades/COLLECTUSDT/COLLECTUSDT-aggTrades-2026-01-01.zip
2026-01-01,daily,bookDepth,data/futures/um/daily/bookDepth/COLLECTUSDT/COLLECTUSDT-bookDepth-2026-01-01.zip
2026-01-01,daily,metrics,data/futures/um/daily/metrics/COLLECTUSDT/COLLECTUSDT-metrics-2026-01-01.zip
2026-01-02,daily,aggTrades,data/futures/um/daily/aggTrades/COLLECTUSDT/COLLECTUSDT-aggTrades-2026-01-02.zip
2026-01-02,daily,bookDepth,data/futures/um/daily/bookDepth/COLLECTUSDT/COLLECTUSDT-bookDepth-2026-01-02.zip
2026-01-02,daily,metrics,data/futures/um/daily/metrics/COLLECTUSDT/COLLECTUSDT-metrics-2026-01-02.zip
2026-01-03,daily,aggTrades,data/futures/um/daily/aggTrades/COLLECTUSDT/COLLECTUSDT-aggTrades-2026-01-03.zip
2026-01-03,daily,bookDepth,data/futures/um/daily/bookDepth/COLLECTUSDT/COLLECTUSDT-bookDepth-2026-01-03.zip
2026-01-03,daily,metrics,data/futures/um/daily/metrics/COLLECTUSDT/COLLECTUSDT-metrics-2026-01-03.zip
2026-01-04,daily,aggTrades,data/futures/um/daily/aggTrades/COLLECTUSDT/COLLECTUSDT-aggTrades-2026-01-04.zip
2026-01-04,daily,bookDepth,data/futures/um/daily/bookDepth/COLLECTUSDT/COLLECTUSDT-bookDepth-2026-01-04.zip
2026-01-04,daily,metrics,data/futures/um/daily/metrics/COLLECTUSDT/COLLECTUSDT-metrics-2026-01-04.zip
2026-01-05,daily,aggTrades,data/futures/um/daily/aggTrades/COLLECTUSDT/COLLECTUSDT-aggTrades-2026-01-05.zip
2026-01-05,daily,bookDepth,data/futures/um/daily/bookDepth/COLLECTUSDT/COLLECTUSDT-bookDepth-2026-01-05.zip
2026-01-05,daily,metrics,data/futures/um/daily/metrics/COLLECTUSDT/COLLECTUSDT-metrics-2026-01-05.zip
